countrycode,country,country_norm,country_barro_lee,year,rgdpo,emp,cn,hc,no_schooling_raw_pct,primary_total_raw_pct,secondary_total_raw_pct,tertiary_total_raw_pct,theta_no_schooling,theta_primary,theta_secondary,theta_tertiary,theta_sum,theta_sum_before_norm
CRI,Costa Rica,costa rica,Costa Rica,2010,62831.0078125,1.9407755136489868,170760.609375,2.5200469493865967,5.48,52.12,23.56,18.84,0.05480000000000001,0.5212000000000001,0.2356,0.18840000000000004,1.0000000000000002,0.9999999999999999
CYP,Cyprus,cyprus,Cyprus,2010,26422.625,0.3456670939922333,162017.734375,2.722369432449341,0.86,23.3,44.95,30.89,0.0086,0.233,0.4495,0.3089,1.0,1.0
CZE,Czech Republic,czech republic,Czech Republic,2010,318896.5625,5.0989909172058105,1715475.0,3.6364033222198486,0.14,0.05,83.29,16.52,0.0014000000000000002,0.0005,0.8329000000000001,0.16519999999999999,1.0,1.0
DEU,Germany,germany,Germany,2010,3672402.0,40.63188171386719,15333157.0,3.6533331871032715,1.84,1.64,72.25,24.27,0.0184,0.016399999999999998,0.7225,0.2427,1.0,1.0
DNK,Denmark,denmark,Denmark,2010,271409.96875,2.7914505004882812,1166865.375,3.4391186237335205,2.89,6.9,61.63,28.6,0.02889422115576885,0.06898620275944811,0.6161767646470707,0.2859428114377125,1.0000000000000002,1.0002
DOM,Dominican Republic,dominican republic,Dominican Rep.,2010,126976.6953125,3.8970165252685547,417298.3125,2.4240472316741943,10.8,35.36,43.57,10.27,0.10800000000000001,0.35359999999999997,0.4357,0.1027,1.0,1.0
DZA,Algeria,algeria,Algeria,2010,532781.75,9.781851768493652,2139251.75,2.039870500564575,26.99,44.15,18.73,10.13,0.2699,0.4415,0.1873,0.1013,1.0,1.0
ECU,Ecuador,ecuador,Ecuador,2010,148737.3125,6.7334184646606445,644770.25,2.705012559890747,10.63,49.59,28.22,11.55,0.1063106310631063,0.4959495949594959,0.2822282228222822,0.11551155115511551,0.9999999999999999,0.9999000000000001
EGY,Egypt,egypt,Egypt,2010,862343.0625,22.842914581298828,1214617.375,2.356199026107788,37.39,10.51,42.03,10.08,0.37386261373862617,0.1050894910508949,0.42025797420257976,0.10078992100789921,1.0000000000000002,1.0001
ESP,Spain,spain,Spain,2010,1622292.375,19.412738800048828,10037753.0,2.803053140640259,2.49,30.12,41.72,25.67,0.024900000000000002,0.3012,0.4172,0.25670000000000004,1.0,1.0
EST,Estonia,estonia,Estonia,2010,31773.455078125,0.5611211657524109,152235.3125,3.472615957260132,0.18,4.62,60.39,34.81,0.0018,0.0462,0.6039,0.3481,1.0,1.0
FIN,Finland,finland,Finland,2010,233241.90625,2.4958302974700928,1161520.625,3.335679292678833,0.37,28.69,39.34,31.61,0.0036996300369963007,0.28687131286871315,0.3933606639336067,0.3160683931606839,1.0,1.0001
FJI,Fiji,fiji,Fiji,2010,7454.62548828125,0.282317191362381,15130.935546875,2.6106793880462646,3.02,32.65,51.19,13.13,0.030203020302030203,0.32653265326532654,0.5119511951195119,0.1313131313131313,1.0,0.9999
FRA,France,france,France,2010,2591608.5,26.876161575317383,13083475.0,3.05643367767334,1.55,19.23,54.78,24.43,0.015501550155015502,0.1923192319231923,0.5478547854785479,0.2443244324432443,1.0,0.9999
GAB,Gabon,gabon,Gabon,2010,22436.4453125,0.4558199942111969,114987.9921875,2.450770616531372,19.19,35.64,32.98,12.18,0.19191919191919193,0.3564356435643564,0.32983298329832983,0.1218121812181218,0.9999999999999999,0.9999
GBR,United Kingdom,united kingdom,United Kingdom,2010,2481864.75,29.42511749267578,10976813.0,3.7031314373016357,0.16,15.9,55.6,28.34,0.0016,0.159,0.556,0.2834,1.0,1.0
GHA,Ghana,ghana,Ghana,2010,108134.703125,10.33951187133789,599238.625,2.2591521739959717,35.33,10.35,51.19,3.13,0.3533,0.1035,0.5119,0.0313,1.0,1.0
GMB,Gambia,gambia,Gambia,2010,5301.68603515625,0.5280076861381531,14040.560546875,1.458304762840271,72.7,3.02,22.36,1.93,0.726927307269273,0.030196980301969805,0.22357764223577642,0.0192980701929807,0.9999999999999999,1.0001
GRC,Greece,greece,Greece,2010,324407.4375,4.6371541023254395,1916699.875,2.9418528079986572,2.79,34.06,36.31,26.84,0.0279,0.3406,0.36310000000000003,0.26839999999999997,1.0,1.0
GTM,Guatemala,guatemala,Guatemala,2010,101553.3046875,5.213250637054443,322549.5625,1.7620407342910767,31.24,46.18,22.55,0.02,0.3124312431243124,0.46184618461846183,0.22552255225522552,0.00020002000200020003,0.9999999999999999,0.9999
HKG,"China, Hong Kong SAR",china hong kong sar,"China, Hong Kong Special Administrative Region",2010,385726.3125,3.493873357772827,1744682.25,3.1425347328186035,6.28,19.75,56.75,17.21,0.0628062806280628,0.1975197519751975,0.5675567556755675,0.1721172117211721,0.9999999999999999,0.9999000000000001
HND,Honduras,honduras,Honduras,2010,34200.609375,3.106600046157837,120599.1640625,2.066002130508423,18.72,53.63,22.53,5.12,0.18719999999999998,0.5363,0.2253,0.0512,1.0,1.0
HRV,Croatia,croatia,Croatia,2010,93659.1328125,1.8147594928741455,429728.34375,3.229398488998413,1.93,8.85,70.93,18.29,0.019299999999999998,0.0885,0.7093,0.18289999999999998,1.0,1.0
HTI,Haiti,haiti,Haiti,2010,18175.68359375,3.7120659351348877,141109.75,1.6132984161376953,35.12,36.39,27.47,1.03,0.3511648835116488,0.3638636136386361,0.2746725327467253,0.010298970102989701,1.0,1.0001
HUN,Hungary,hungary,Hungary,2010,236413.09375,3.92093825340271,1004131.875,3.274661064147949,0.28,1.81,78.48,19.43,0.0028000000000000004,0.0181,0.7848,0.1943,1.0,1.0
IDN,Indonesia,indonesia,Indonesia,2010,1977505.375,108.15474700927734,10173204.0,2.4167702198028564,9.47,48.24,34.79,7.5,0.09470000000000002,0.48240000000000005,0.34790000000000004,0.07500000000000001,1.0,0.9999999999999999
IND,India,india,India,2010,5621831.5,467.4125061035156,20219374.0,1.9660980701446533,42.29,15.63,33.0,9.08,0.4229,0.1563,0.33,0.0908,1.0,1.0
IRL,Ireland,ireland,Ireland,2010,241319.515625,1.8831759691238403,1015873.6875,3.031862735748291,0.84,18.09,36.81,44.25,0.0084008400840084,0.18091809180918092,0.3681368136813682,0.44254425442544254,1.0,0.9999
IRN,Iran (Islamic Republic of),iran islamic republic of,Iran (Islamic Republic of),2010,1410083.0,20.674331665039062,5287025.0,2.1219894886016846,16.82,22.39,42.52,18.27,0.16820000000000002,0.22390000000000002,0.4252,0.1827,1.0,1.0
IRQ,Iraq,iraq,Iraq,2010,389782.8125,6.4105424880981445,606313.0,2.173938512802124,28.09,32.88,24.76,14.27,0.2809,0.32880000000000004,0.24760000000000001,0.1427,1.0,1.0
ISL,Iceland,iceland,Iceland,2010,13883.66796875,0.1644422709941864,64045.796875,3.0527257919311523,1.53,34.97,35.84,27.65,0.015301530153015303,0.3497349734973497,0.3584358435843585,0.27652765276527647,1.0,0.9999
ISR,Israel,israel,Israel,2010,240089.125,3.380554437637329,801228.625,3.539247989654541,3.05,11.84,41.86,43.25,0.0305,0.1184,0.41859999999999997,0.4325,1.0,1.0
ITA,Italy,italy,Italy,2010,2293011.0,24.79245376586914,12506324.0,2.996690273284912,6.3,19.87,61.69,12.13,0.063006300630063,0.19871987198719873,0.6169616961696169,0.12131213121312132,1.0,0.9999
JAM,Jamaica,jamaica,Jamaica,2010,21172.873046875,1.0949000120162964,157857.5625,2.549626350402832,5.21,22.59,57.46,14.73,0.0521052105210521,0.2259225922592259,0.5746574657465746,0.14731473147314733,1.0,0.9999
JOR,Jordan,jordan,Jordan,2010,77074.9921875,1.8148953914642334,288038.40625,2.7801027297973633,10.12,15.77,57.93,16.18,0.1012,0.1577,0.5793,0.1618,1.0,1.0
JPN,Japan,japan,Japan,2010,5114662.0,66.01461791992188,26394024.0,3.4973220825195312,0.12,12.71,57.04,30.13,0.0012,0.12710000000000002,0.5704,0.3013,1.0,1.0
KAZ,Kazakhstan,kazakhstan,Kazakhstan,2010,331911.3125,7.8960113525390625,774337.3125,3.2301177978515625,0.04,3.04,74.1,22.83,0.00039996000399960006,0.030396960303969604,0.7409259074092591,0.2282771722827717,1.0,1.0001
KEN,Kenya,kenya,Kenya,2010,109637.828125,17.694486618041992,267148.6875,2.165915012359619,26.48,44.45,21.15,7.92,0.2648,0.4445,0.2115,0.07919999999999999,1.0,1.0
KGZ,Kyrgyzstan,kyrgyzstan,Kyrgyzstan,2010,19835.63671875,2.3006112575531006,32824.3359375,3.1568760871887207,1.0,3.37,77.74,17.89,0.01,0.0337,0.7774,0.1789,1.0,1.0
KHM,Cambodia,cambodia,Cambodia,2010,35353.07421875,7.587648868560791,75299.6796875,1.7256673574447632,28.33,56.16,13.46,2.04,0.28332833283328335,0.5616561656165616,0.1346134613461346,0.020402040204020404,0.9999999999999999,0.9999
KOR,Republic of Korea,republic of korea,Republic of Korea,2010,1780067.625,24.02872085571289,7213039.0,3.467933177947998,4.1,11.5,44.6,39.8,0.040999999999999995,0.115,0.446,0.39799999999999996,1.0,1.0
KWT,Kuwait,kuwait,Kuwait,2010,233032.59375,1.7149981260299683,369998.59375,2.1476356983184814,7.13,43.99,40.6,8.28,0.0713,0.4399,0.406,0.0828,1.0,1.0
LAO,Lao People's DR,lao people s dr,Lao People's Democratic Republic,2010,27937.341796875,3.1165771484375,79174.6015625,1.8109501600265503,34.59,35.61,24.72,5.07,0.345934593459346,0.35613561356135615,0.24722472247224722,0.05070507050705071,1.0,0.9998999999999999
LBR,Liberia,liberia,Liberia,2010,3420.869873046875,1.3166669607162476,10724.943359375,1.7246019840240479,55.8,17.53,21.36,5.32,0.557944205579442,0.17528247175282474,0.2135786421357864,0.05319468053194681,0.9999999999999999,1.0001
LKA,Sri Lanka,sri lanka,Sri Lanka,2010,186457.375,7.700440883636475,424523.6875,2.8846120834350586,5.4,20.57,59.92,14.11,0.054000000000000006,0.2057,0.5992000000000001,0.1411,1.0,1.0
LSO,Lesotho,lesotho,Lesotho,2010,5373.1884765625,0.6009471416473389,22548.703125,2.014831304550171,15.69,63.44,18.98,1.89,0.1569,0.6344000000000001,0.18980000000000002,0.018900000000000004,1.0,0.9999999999999999
LTU,Lithuania,lithuania,Lithuania,2010,65531.7421875,1.2599159479141235,271580.5,3.1496520042419434,0.0,8.37,62.35,29.29,0.0,0.0836916308369163,0.6234376562343766,0.29287071292870714,1.0,1.0001
LUX,Luxembourg,luxembourg,Luxembourg,2010,34426.83984375,0.35917413234710693,159612.40625,3.186408281326294,4.87,20.41,42.8,31.92,0.0487,0.2041,0.428,0.31920000000000004,1.0,1.0
LVA,Latvia,latvia,Latvia,2010,40952.0234375,0.8519376516342163,272943.28125,3.0294175148010254,0.22,4.29,77.51,17.98,0.0022,0.0429,0.7751,0.17980000000000002,1.0,1.0
MAC,"China, Macao SAR",china macao sar,"China, Macao Special Administrative Region",2010,56330.0390625,0.3183000087738037,124072.0625,2.5749733448028564,3.75,24.71,53.4,18.13,0.0375037503750375,0.24712471247124715,0.534053405340534,0.1813181318131813,1.0,0.9999
MAR,Morocco,morocco,Morocco,2010,223102.84375,10.911794662475586,1106021.125,1.7502882480621338,50.89,23.79,15.96,9.36,0.5089,0.2379,0.15960000000000002,0.09359999999999999,1.0,1.0
MDA,Republic of Moldova,republic of moldova,Republic of Moldova,2010,20961.734375,1.245815396308899,58721.80859375,3.066927909851074,1.11,5.1,76.82,16.97,0.011100000000000002,0.051000000000000004,0.7682,0.16970000000000002,1.0,0.9999999999999999
MDV,Maldives,maldives,Maldives,2010,5255.90478515625,0.11979590356349945,13887.9150390625,1.7761234045028687,29.47,40.46,28.24,1.83,0.29469999999999996,0.4046,0.2824,0.0183,1.0,1.0
MEX,Mexico,mexico,Mexico,2010,1925128.875,46.121620178222656,7250142.5,2.599172830581665,9.34,34.35,38.65,17.67,0.0933906609339066,0.34346565343465657,0.38646135386461355,0.17668233176682335,1.0,1.0001
MLI,Mali,mali,Mali,2010,30366.767578125,4.4653000831604,34214.75390625,1.2226152420043945,81.37,8.3,8.41,1.91,0.8137813781378138,0.08300830083008301,0.0841084108410841,0.0191019101910191,1.0,0.9999000000000001
MLT,Malta,malta,Malta,2010,11165.517578125,0.16280584037303925,41957.26171875,2.999403238296509,1.92,28.34,56.25,13.49,0.0192,0.2834,0.5625,0.1349,1.0,1.0
MMR,Myanmar,myanmar,Myanmar,2010,186192.46875,20.4996280670166,259063.375,1.7253780364990234,21.72,59.08,11.71,7.48,0.21722172217221722,0.5908590859085909,0.11711171117111713,0.07480748074807482,1.0,0.9998999999999999
MNG,Mongolia,mongolia,Mongolia,2010,23815.85546875,1.1746999025344849,131963.734375,2.7936272621154785,4.46,10.75,61.06,23.74,0.04459554044595541,0.10748925107489252,0.6105389461053895,0.2373762623737626,1.0,1.0001
MOZ,Mozambique,mozambique,Mozambique,2010,28875.5,8.550308227539062,45839.5234375,1.1809171438217163,74.6,21.77,3.13,0.5,0.746,0.2177,0.0313,0.005,1.0,1.0
MRT,Mauritania,mauritania,Mauritania,2010,15612.0673828125,0.8530433773994446,74895.2578125,1.6570870876312256,44.58,41.03,12.14,2.25,0.4458,0.4103,0.12140000000000001,0.0225,1.0,1.0
MUS,Mauritius,mauritius,Mauritius,2010,21325.560546875,0.5205148458480835,82749.40625,2.4764835834503174,6.63,39.39,48.7,5.28,0.0663,0.39390000000000003,0.48700000000000004,0.0528,1.0,1.0
MWI,Malawi,malawi,Malawi,2010,16858.490234375,5.936855792999268,36953.86328125,1.6919158697128296,29.61,54.11,15.93,0.36,0.2960703929607039,0.541045895410459,0.15928407159284072,0.0035996400359964,1.0,1.0001
MYS,Malaysia,malaysia,Malaysia,2010,562027.8125,12.039651870727539,1915010.125,2.883427619934082,8.78,23.0,51.85,16.37,0.08779999999999999,0.23,0.5185,0.1637,1.0,1.0
NAM,Namibia,namibia,Namibia,2010,19007.91796875,0.5895745754241943,72003.046875,2.138727903366089,20.92,45.23,31.68,2.17,0.20920000000000002,0.4523,0.31679999999999997,0.0217,1.0,1.0
NER,Niger,niger,Niger,2010,19601.61328125,6.840512275695801,80051.0078125,1.167344093322754,78.16,16.7,4.04,1.11,0.7815218478152185,0.166983301669833,0.0403959604039596,0.011098890110988902,1.0,1.0001
NIC,Nicaragua,nicaragua,Nicaragua,2010,26013.2734375,2.161393165588379,93843.921875,2.0908353328704834,23.14,37.97,27.73,11.15,0.23142314231423142,0.3797379737973797,0.2773277327732773,0.1115111511151115,1.0,0.9999
