countrycode,country,country_norm,country_barro_lee,year,rgdpo,emp,cn,hc,no_schooling_raw_pct,primary_total_raw_pct,secondary_total_raw_pct,tertiary_total_raw_pct,theta_no_schooling,theta_primary,theta_secondary,theta_tertiary,theta_sum,theta_sum_before_norm
SVN,Slovenia,slovenia,Slovenia,2010,60950.0546875,0.9643076062202454,323130.5,3.39108943939209,0.48,3.46,73.76,22.3,0.0048,0.0346,0.7376,0.223,1.0,1.0
SWE,Sweden,sweden,Sweden,2010,434925.3125,4.4949774742126465,1799197.625,3.346539258956909,1.73,12.71,57.42,28.15,0.0172982701729827,0.1270872912708729,0.5741425857414257,0.2814718528147184,0.9999999999999998,1.0001000000000002
SWZ,Eswatini,eswatini,Swaziland,2010,9329.5078125,0.25342121720314026,44560.80078125,1.7123980522155762,44.82,31.38,22.54,1.27,0.44815518448155184,0.3137686231376862,0.2253774622537746,0.012698730126987301,1.0,1.0001
SYR,Syrian Arab Republic,syrian arab republic,Syrian Arab Republic,2010,132627.015625,5.2635321617126465,390202.34375,2.387016773223877,20.87,44.84,28.07,6.22,0.2087,0.4484,0.2807,0.0622,1.0,1.0
TGO,Togo,togo,Togo,2010,8331.79296875,2.617223024368286,37436.484375,1.7663685083389282,49.84,23.22,24.31,2.63,0.4984,0.2322,0.24309999999999998,0.0263,1.0,1.0
THA,Thailand,thailand,Thailand,2010,933518.0625,38.012290954589844,3748098.5,2.5527467727661133,3.66,57.49,26.33,12.53,0.0365963403659634,0.5748425157484252,0.2632736726327367,0.1252874712528747,1.0,1.0001
TJK,Tajikistan,tajikistan,Tajikistan,2010,22948.115234375,2.2450428009033203,228480.390625,3.1185014247894287,0.37,6.41,84.49,8.73,0.0037,0.0641,0.8449,0.0873,1.0,1.0
TTO,Trinidad and Tobago,trinidad and tobago,Trinidad and Tobago,2010,42359.0,0.5823000073432922,152059.921875,3.007477283477783,1.32,39.05,50.02,9.61,0.013200000000000002,0.3905,0.5002000000000001,0.0961,1.0000000000000002,0.9999999999999999
TUN,Tunisia,tunisia,Tunisia,2010,127878.953125,3.574774742126465,606654.375,2.217883825302124,26.83,33.84,26.83,12.5,0.2683,0.33840000000000003,0.2683,0.125,1.0,1.0
TUR,Turkey,turkey,Turkey,2010,1430262.375,22.581518173217773,4660637.5,2.2143657207489014,11.3,52.27,25.72,10.71,0.113,0.5227,0.2572,0.10710000000000001,1.0,1.0
TWN,Taiwan,taiwan,Taiwan,2010,964466.0,10.493144989013672,3483863.5,3.0786547660827637,2.83,16.07,46.12,34.97,0.028302830283028303,0.16071607160716073,0.46124612461246123,0.3497349734973497,1.0,0.9999
TZA,U.R. of Tanzania: Mainland,u r of tanzania mainland,United Republic of Tanzania,2010,98450.6953125,18.24154281616211,475402.5625,1.5961668491363525,26.09,66.37,6.74,0.8,0.2609,0.6637000000000001,0.0674,0.008,1.0,1.0
UGA,Uganda,uganda,Uganda,2010,63122.69140625,10.105009078979492,200289.5625,1.9720501899719238,20.7,50.47,25.87,2.96,0.20700000000000002,0.5047000000000001,0.25870000000000004,0.029600000000000005,1.0000000000000002,0.9999999999999999
UKR,Ukraine,ukraine,Ukraine,2010,440252.15625,20.252878189086914,2211308.0,3.213732957839966,1.49,4.97,53.63,39.92,0.014898510148985102,0.0496950304969503,0.5362463753624638,0.39916008399160086,1.0,1.0001
URY,Uruguay,uruguay,Uruguay,2010,59494.7890625,1.6038750410079956,243266.9375,2.5791146755218506,1.62,48.88,40.09,9.41,0.016200000000000003,0.4888,0.40090000000000003,0.0941,1.0,1.0
USA,United States,united states,USA,2010,16651722.0,140.71380615234375,61035260.0,3.7017533779144287,0.39,2.54,39.79,57.28,0.0039000000000000003,0.0254,0.3979,0.5728,1.0,1.0
VEN,Venezuela (Bolivarian Republic of),venezuela bolivarian republic of,Venezuela,2010,540223.875,12.00979995727539,2352053.25,2.588259220123291,6.62,39.62,37.84,15.92,0.0662,0.3962,0.3784,0.1592,1.0,1.0
VNM,Viet Nam,viet nam,Viet Nam,2010,418834.9375,49.048500061035156,1127148.5,2.4207711219787598,8.16,27.2,57.8,6.84,0.0816,0.272,0.578,0.0684,1.0,1.0
YEM,Yemen,yemen,Yemen,2010,113271.515625,4.295603275299072,230562.3125,1.4162533283233643,69.25,13.14,15.08,2.53,0.6924999999999999,0.1314,0.15079999999999996,0.025299999999999993,0.9999999999999998,1.0000000000000002
ZAF,South Africa,south africa,South Africa,2010,660532.4375,15.727519035339355,2272312.0,2.5043632984161377,7.82,19.05,66.98,6.14,0.0782078207820782,0.1905190519051905,0.6698669866986698,0.0614061406140614,0.9999999999999999,0.9999000000000001
ZMB,Zambia,zambia,Zambia,2010,45006.21875,3.704169988632202,243631.578125,2.2221286296844482,18.42,46.61,33.47,1.5,0.18420000000000003,0.4661,0.3347,0.015,1.0,1.0
ZWE,Zimbabwe,zimbabwe,Zimbabwe,2010,28976.095703125,5.753274440765381,59581.9765625,2.3726048469543457,8.51,36.14,54.26,1.08,0.0851085108510851,0.36143614361436144,0.5426542654265426,0.010801080108010801,1.0,0.9999
